Date,Oil Investments,Gold Investments,Comp Stock,Other sharesInvestments
24-02-2011,-0.002186589,0.001596594,0.000758882,0.006056187
25-02-2011,0.00720025,-0.006376196,0.015399,-0.00286917
28-02-2011,0.006009117,0.006060606,0.014504814,-0.022286233
01-03-2011,0.026055613,0.006909993,-0.011041613,-0.022217042
02-03-2011,0.026498043,0.010381841,0.008044419,0.015226641
03-03-2011,-0.003422314,-0.009752699,0.021129198,0.00447616
04-03-2011,0.023744113,0.003869152,0.001223676,-0.006481828
07-03-2011,0.009871574,0.007358094,-0.012888887,-0.015087063
08-03-2011,-0.002942014,-0.007826087,0.001125642,-0.012952466
09-03-2011,-0.006377308,0.003330412,-0.009247827,0.012942681
10-03-2011,-0.015901906,-0.012403913,-0.016455313,-0.017213865
11-03-2011,-0.015477465,-0.001238281,0.015346047,0.011616757
14-03-2011,0.000593237,0.007616011,0.00446036,-0.007972934
15-03-2011,-0.039229249,-0.01529267,-0.022994731,-0.009896204
16-03-2011,0.007816518,0.001071046,-0.044639952,-0.002301945
17-03-2011,0.035513828,0.001248217,0.014029844,-0.022647214
18-03-2011,-0.004040603,0.011576135,-0.011863498,0.005280524
21-03-2011,0.012863645,0.008450704,0.026098524,0.016685187
22-03-2011,0.021199687,-0.004189944,0.005599814,-0.011670301
23-03-2011,0.00650531,0.009467041,-0.005890996,0.016728173
24-03-2011,-0.001615816,0.005210142,0.017040591,0.034962489
25-03-2011,-0.001428027,-0.007601935,0.019045146,-0.000701403
28-03-2011,-0.012870626,-0.013231198,-0.003129072,-0.009533221
29-03-2011,0.007726483,0.000352858,0.001483795,0.031118918
30-03-2011,-0.005175388,0.005643739,-0.006638891,0.027488278
31-03-2011,0.023025048,0.009470361,-0.000344207,0.003957235
01-04-2011,0.012807232,-0.014593468,-0.01133397,0
04-04-2011,0.005485821,0.012341326,-0.009780619,0.015599828
05-04-2011,-0.002959127,-0.001393243,-0.006741103,0.012845692
06-04-2011,0.005193842,0.019532613,-0.002508197,-0.013654261
07-04-2011,0.013286584,-0.001368457,0.000118323,0.011764112
08-04-2011,0.022309233,0.006851662,-0.008932765,-0.001081591
11-04-2011,-0.024672664,-0.001020755,-0.012714194,-0.003627383
12-04-2011,-0.034246575,-0.011920981,0.004836793,-0.019343605
13-04-2011,0.008037825,0.004825922,0.011221396,0.010028796
14-04-2011,0.010600375,0.005660377,-0.011037376,-0.002578233
15-04-2011,0.01336675,0.00750469,-0.014920895,-0.009954966
18-04-2011,-0.022625263,0.011003894,0.013406242,-0.009277257
19-04-2011,0.004498594,-0.001674481,0.018110562,0.00269155
20-04-2011,0.034148162,0.007044616,0.013467138,0.028240621
21-04-2011,0.007939372,0.001998668,0.024210707,0.010986045
25-04-2011,-0.000358038,-1,0.006586867,-0.002528382
26-04-2011,0.000358166,0,-0.007336883,-0.016826637
27-04-2011,0.00528106,0.009015025,-0.000770555,0.078606702
28-04-2011,0.000623275,0.016214428,-0.009710119,-0.007933672
29-04-2011,0.008987364,-1,0.009747654,0.003793464
02-05-2011,-0.003174883,0,-0.010995896,0.027475635
03-05-2011,-0.021498717,0,0.005544692,-0.013618992
04-05-2011,-0.01636528,0.000486934,0.003934494,0.00765938
05-05-2011,-0.08180899,-0.019467878,-0.008067091,-0.014302145
06-05-2011,-0.030233257,-0.016214428,-0.00025951,0.002485947
09-05-2011,0.035614741,0.010427178,0.002711576,0.016194316
10-05-2011,0.030602073,0.007656458,0.005322215,0.015637445
11-05-2011,-0.053293355,-0.003633961,-0.006352843,0.002157512
12-05-2011,0.006640785,-0.012267905,-0.001900804,0.00826892
13-05-2011,0.006901451,0.010909701,-0.017514462,-0.01703309
16-05-2011,-0.023183147,-0.003320604,-0.021145386,-0.049614944
17-05-2011,-0.005262615,-0.01482592,0.008520867,0.011947447
18-05-2011,0.032365145,0.012174501,0.011096543,0.011703701
19-05-2011,-0.015373794,-0.002338791,0.001941966,0.008676275
20-05-2011,0.011837943,-0.001507033,-0.015593331,-0.000754572
23-05-2011,-0.021079173,0.013248365,-0.00244622,-0.012232535
24-05-2011,0.021327014,0.010923535,-0.006608804,-0.01503413
25-05-2011,0.01664481,-0.000491159,0.013817345,-0.005225896
26-05-2011,-0.005953562,-0.005077805,-0.005285314,0.014251561
27-05-2011,0.003992813,0.009548897,0.007193994,-0.004461513
31-05-2011,0.021077749,0.002283105,0.030882322,0.013187024
01-06-2011,-0.023369036,-0.001789782,-0.006669934,-0.021811012
